Method,Family,Seed,Profile,Scope,K,Evidence,SelectedN,HitN,HitRate,PoolHitRate,FoldEnrichment
mutation,mutation,,static,candidate_pool,150,DepMapCCRCCSelective,150,0,0.0,0.009094667217858619,0.0
mutation,mutation,,static,candidate_pool,150,PostHocNonMutationAnyHit,150,11,0.07333333333333333,0.06200909466721786,1.1826222222222222
mutation,mutation,,static,candidate_pool,150,PostHocNonMutationStrongHit,150,0,0.0,0.0,
mutation,mutation,,static,global_then_filter,50,IndependentAnyHit,34,25,0.7352941176470589,0.1756924348904506,4.185121107266436
mutation,mutation,,static,global_then_filter,50,IndependentStrongHit,34,2,0.058823529411764705,0.0062009094667217855,9.486274509803922
mutation,mutation,,static,global_then_filter,50,FrozenLiteratureHoldout,34,0,0.0,0.0033071517155849523,0.0
mutation,mutation,,static,global_then_filter,50,CPTACRecurrence,34,24,0.7058823529411765,0.11988424968995452,5.888032454361055
mutation,mutation,,static,global_then_filter,50,CPTACProteinSupport,34,3,0.08823529411764706,0.049607275733774284,1.7786764705882354
mutation,mutation,,static,global_then_filter,50,DepMapCCRCCDependency,34,2,0.058823529411764705,0.12939231087226127,0.4546137943995489
mutation,mutation,,static,global_then_filter,50,DepMapCCRCCSelective,34,0,0.0,0.009094667217858619,0.0
mutation,mutation,,static,global_then_filter,50,PostHocNonMutationAnyHit,34,3,0.08823529411764706,0.06200909466721786,1.4229411764705884
