BanditMethod,Comparator,Seed,K,Evidence,BanditHitRate,ComparatorHitRate,HitRateDifference,BanditFold,ComparatorFold,FoldDifference
bandit_recovery_heavy,GCN,42,50,IndependentStrongHit,0.04,0.04,0.0,6.450666666666668,6.450666666666668,0.0
bandit_recovery_heavy,GCN,42,100,IndependentAnyHit,0.39,0.46,-0.07,2.2197882352941174,2.6182117647058822,-0.39842352941176484
bandit_recovery_heavy,GCN,42,100,IndependentStrongHit,0.03,0.04,-0.010000000000000002,4.838,6.450666666666668,-1.6126666666666676
bandit_recovery_heavy,GCN,42,150,IndependentAnyHit,0.36,0.4066666666666667,-0.04666666666666669,2.049035294117647,2.3146509803921567,-0.2656156862745096
bandit_recovery_heavy,GCN,42,150,IndependentStrongHit,0.02,0.04,-0.02,3.225333333333334,6.450666666666668,-3.225333333333334
bandit_recovery_heavy,GCN,45,50,IndependentAnyHit,0.44,0.56,-0.12000000000000005,2.504376470588235,3.187388235294118,-0.6830117647058827
bandit_recovery_heavy,GCN,45,50,IndependentStrongHit,0.04,0.04,0.0,6.450666666666668,6.450666666666668,0.0
bandit_recovery_heavy,GCN,45,100,IndependentAnyHit,0.41,0.45,-0.040000000000000036,2.3336235294117644,2.561294117647059,-0.2276705882352945
bandit_recovery_heavy,GCN,45,100,IndependentStrongHit,0.02,0.03,-0.009999999999999998,3.225333333333334,4.838,-1.6126666666666662
bandit_recovery_heavy,GCN,45,150,IndependentAnyHit,0.37333333333333335,0.38666666666666666,-0.013333333333333308,2.1249254901960786,2.2008156862745096,-0.07589019607843106
bandit_recovery_heavy,GCN,45,150,IndependentStrongHit,0.013333333333333334,0.03333333333333333,-0.019999999999999997,2.1502222222222227,5.375555555555556,-3.225333333333333
