Method,Family,Profile,Scope,K,Evidence,RunN,SelectedNMean,HitRateMean,HitRateSD,FoldMean,FoldSD
MLP,MLP,supervised,candidate_pool,50,IndependentStrongHit,3,50.0,0.02666666666666667,0.011547005383792516,4.300444444444445,1.8621470682262733
MLP,MLP,supervised,candidate_pool,50,PostHocNonMutationAnyHit,3,50.0,0.12666666666666668,0.011547005383792528,2.042711111111111,0.1862147068226273
MLP,MLP,supervised,candidate_pool,50,PostHocNonMutationStrongHit,3,50.0,0.0,0.0,,
MLP,MLP,supervised,candidate_pool,100,CPTACProteinSupport,3,100.0,0.04666666666666666,0.02309401076758503,0.9407222222222223,0.46553676705656827
MLP,MLP,supervised,candidate_pool,100,CPTACRecurrence,3,100.0,0.23666666666666666,0.09291573243177571,1.9741264367816094,0.77504536811195
MLP,MLP,supervised,candidate_pool,100,DepMapCCRCCDependency,3,100.0,0.11333333333333333,0.005773502691896256,0.8758892438764643,0.044620137417562475
MLP,MLP,supervised,candidate_pool,100,DepMapCCRCCSelective,3,100.0,0.01,0.0,1.0995454545454546,0.0
MLP,MLP,supervised,candidate_pool,100,FrozenLiteratureHoldout,3,100.0,0.05000000000000001,0.0,15.11875,0.0
MLP,MLP,supervised,candidate_pool,100,IndependentAnyHit,3,100.0,0.31,0.10440306508910549,1.7644470588235295,0.5942376810601085
MLP,MLP,supervised,candidate_pool,100,IndependentStrongHit,3,100.0,0.03333333333333333,0.011547005383792516,5.3755555555555565,1.8621470682262733
MLP,MLP,supervised,candidate_pool,100,PostHocNonMutationAnyHit,3,100.0,0.10666666666666667,0.023094010767585025,1.7201777777777778,0.3724294136452546
MLP,MLP,supervised,candidate_pool,100,PostHocNonMutationStrongHit,3,100.0,0.0,0.0,,
MLP,MLP,supervised,candidate_pool,150,CPTACProteinSupport,3,150.0,0.04666666666666667,0.011547005383792518,0.9407222222222223,0.23276838352828422
MLP,MLP,supervised,candidate_pool,150,CPTACRecurrence,3,150.0,0.2577777777777778,0.08494006601607285,2.1502222222222223,0.7085173092857939
MLP,MLP,supervised,candidate_pool,150,DepMapCCRCCDependency,3,150.0,0.11333333333333334,0.02905932629027115,0.8758892438764643,0.22458309998775064
MLP,MLP,supervised,candidate_pool,150,DepMapCCRCCSelective,3,150.0,0.011111111111111112,0.00769800358919501,1.2217171717171718,0.8464304855573969
