Gene	Average shortest path length to known risk genes	FDR p-value (Average shortest path length)	Average cosine similarity with known risk genes	FDR p-value (Average cosine similarity)
SIK1	4.378787878787879	6.28958515631937e-136	-0.1599648	1.0
RFC4	4.833333333333333	1.5440304108976452e-76	0.44925687	8.4e-323
SDC1	7.318181818181818	1.0	0.041112565	1.0
ARHGEF9	4.696969696969697	3.8046876614436754e-93	0.023940932	1.0
STAU1	4.666666666666667	5.436100284867346e-97	0.19555338	1.0
NOLC1	3.9393939393939394	2.757966219865828e-201	-0.13334656	1.0
ARHGEF7	4.151515151515151	4.888626158200517e-169	0.521916	0.0
EPHA1	4.681818181818182	4.6176288953559986e-95	0.58759016	0.0
DPF1	6.242424242424242	1.0	-0.018293992	1.0
AP1B1	4.696969696969697	3.8046876614436754e-93	-0.21040058	1.0
GRM2	6.045454545454546	1.0	0.24488322	2.4950101336354197e-19
ORM1	6.96969696969697	1.0	0.1057381	1.0
SMYD3	7.045454545454546	1.0	0.02287278	1.0
HSPB1	4.9393939393939394	1.7489259190183097e-64	0.07564918	1.0
MYH9	5.363636363636363	1.8904454137449194e-25	-0.08513344	1.0
RASGRF1	4.045454545454546	4.880068221542849e-185	0.6767432	0.0
EPB42	7.318181818181818	1.0	0.33084956	1.1277729018528118e-119
TPGS2	5.242424242424242	5.863140216407729e-35	0.13107157	1.0
EGR4	4.7727272727272725	8.965969538698311e-84	-0.08117632	1.0
MAML2	4.818181818181818	2.526887068025153e-78	0.61221015	0.0
ZNF193	8.242424242424242	1.0	0.20067954	0.3762122019949643
FLT3LG	5.515151515151516	1.2036111894347524e-15	0.120854564	1.0
AP2M1	4.575757575757576	7.642634320383592e-109	-0.12990454	1.0
DDX3Y	6.984848484848484	1.0	0.23998018	5.102629704707405e-16
GTF2A1	4.287878787878788	5.811180470231197e-149	0.45555267	0.0
HNRNPAB	4.075757575757576	1.943615093456485e-180	0.22786964	3.3257615409180077e-09
GRPEL2	4.7727272727272725	8.965969538698311e-84	0.115183026	1.0
ADCYAP1	6.045454545454546	1.0	0.059541587	1.0
PVRL1	5.181818181818182	3.1356292036781608e-40	-0.104657896	1.0
DPM2	15.0	1.0	0.13001153	1.0
F2RL3	7.757575757575758	1.0	0.009928789	1.0
SELL	6.9393939393939394	1.0	-0.02429268	1.0
PPP3CA	4.212121212121212	4.797666161747924e-160	0.23364952	3.2689191386941048e-12
EPB41L1	4.151515151515151	4.888626158200517e-169	0.29216596	6.548186652032771e-66
SLBP	12.242424242424242	1.0	0.015377072	1.0
PCNP	5.090909090909091	9.42672456685099e-49	0.07505576	1.0
TSPAN1	5.696969696969697	4.17278972504703e-07	0.20509034	0.08636308144723485
SLC9A3	5.863636363636363	0.01765760733315265	0.5779831	0.0
GLIS3	5.924242424242424	0.15242665824965337	-0.16397467	1.0
ARHGAP15	4.5	4.739860753386833e-119	0.011878701	1.0
CNST	5.242424242424242	5.863140216407729e-35	0.31594175	1.1913054104325026e-97
TAX1BP1	4.46969696969697	3.322043501688977e-123	0.40642613	1.840935818451766e-246
DCTN2	5.257575757575758	1.0798160343680533e-33	0.16011399	1.0
MINPP1	4.212121212121212	4.797666161747924e-160	-0.0032426228	1.0
SAFB2	3.878787878787879	1.2044290628241797e-210	0.22375464	2.4339669978489944e-07
AKAP12	4.409090909090909	1.1994242041498635e-131	0.1677712	1.0
LPHN1	5.03030303030303	8.064061631179219e-55	0.007173055	1.0
EID1	4.075757575757576	1.943615093456485e-180	0.30838257	4.551808245885762e-87
ZCCHC8	5.424242424242424	3.0278538145354285e-21	0.5406219	0.0
HEY1	3.8636363636363638	5.454476175122177e-213	0.4797656	0.0
KCNA5	4.2272727272727275	8.267787050295119e-158	-0.09484635	1.0
CCS	4.333333333333333	2.099189068911428e-142	0.42802054	6.643579978339196e-285
PRICKLE2	4.803030303030303	3.987558958650078e-80	-0.15883961	1.0
PCSK1	15.0	1.0	0.07755739	1.0
IL1B	6.03030303030303	0.9798457738133981	0.061383985	1.0
WDR65	4.5	4.739860753386833e-119	0.5439504	0.0
NOS3	4.454545454545454	2.6584028516486256e-125	0.31335467	5.570590108588052e-94
