Gene	Average shortest path length to known risk genes	FDR p-value (Average shortest path length)	Average cosine similarity with known risk genes	FDR p-value (Average cosine similarity)
PLXNB1	5.515151515151516	1.7246853142774622e-20	0.7145808	0.0
ATP5A1	4.181818181818182	2.0431422463121415e-168	0.56165326	0.0
NAGK	7.4393939393939394	1.0	0.269002	1.7596091591198163e-50
ARCN1	6.348484848484849	1.0	0.3738464	5.509515191860902e-211
PDPN	8.0	1.0	0.21462543	3.476808161859364e-07
ETF1	5.757575757575758	3.3260698279418764e-08	0.42660025	1.1529854333296833e-306
NYNRIN	6.196969696969697	1.0	0.66090125	0.0
PSKH1	5.409090909090909	1.1965605630142752e-27	0.45200968	0.0
USP37	4.363636363636363	7.512830586913155e-143	0.63721627	0.0
CDK8	5.015151515151516	1.0736043812980293e-62	0.52277505	0.0
TBL1X	4.484848484848484	2.1281592221250877e-126	0.59094906	0.0
RPL41	4.318181818181818	3.8075011752609048e-149	0.18497874	1.0
RPS11	5.045454545454546	1.4229306440703084e-59	0.35973355	3.9226539666861445e-186
FGFR3	5.575757575757576	7.098220602553354e-17	0.35662493	9.80977231860776e-181
PPP2CA	3.5303030303030303	2.824771523696977e-265	0.06557125	1.0
TOPBP1	4.242424242424242	8.837767506374353e-160	0.71179926	0.0
SSSCA1	5.424242424242424	1.4589219929881028e-26	0.35549727	8.747156391920037e-179
FOXO1	3.4393939393939394	4.255692881133359e-279	0.4653093	0.0
DOK4	4.242424242424242	8.837767506374353e-160	0.5152458	0.0
NDE1	3.696969696969697	4.6359708472492094e-240	0.4288748	7.977489936176e-311
APH1B	4.742424242424242	1.5808109845269243e-93	0.39780915	4.074552997686063e-254
UBE2E2	5.787878787878788	4.385663779892977e-07	0.31871194	3.9544639916354505e-118
MAPK3	3.196969696969697	7.17273853e-316	-0.11305635	1.0
RHOQ	4.636363636363637	1.1170269528111936e-106	0.39429277	9.742764649909938e-248
RAMP1	15.0	1.0	0.17589144	1.0
SNX15	6.212121212121212	1.0	0.2755748	3.864106264971676e-58
PML	3.4545454545454546	8.587356613216964e-277	0.12439868	1.0
MYO1G	5.242424242424242	6.099209833098505e-41	0.62381285	0.0
PDC	4.257575757575758	1.225183680326422e-157	0.4530214	0.0
CACNG3	15.0	1.0	0.23882434	1.0802957973152504e-21
NPPA	5.333333333333333	2.1706753254292354e-33	0.2866574	4.859996072080563e-72
SUMO2	3.9242424242424243	4.600422224434154e-206	0.07969816	1.0
DDC	4.0606060606060606	5.7613808878307085e-186	0.5370223	0.0
SRSF9	4.5	2.201714823989054e-124	0.3919385	1.790171685780401e-243
TNNT1	6.515151515151516	1.0	0.23219676	6.499534583523299e-17
ZFAND5	4.696969696969697	4.296316092130633e-99	0.4295607	4.45151768166e-312
SERPINA3	7.03030303030303	1.0	0.24991879	5.5382053380480465e-31
EDA	5.424242424242424	1.4589219929881028e-26	0.2851439	4.509606020818086e-70
PEPD	5.151515151515151	3.59408870467608e-49	0.5084527	0.0
GLS2	4.909090909090909	3.9245179205093584e-74	0.61800075	0.0
MTF1	5.7727272727272725	1.240247868738064e-07	0.488233	0.0
EXOSC5	6.2272727272727275	1.0	0.38376963	9.82250842884096e-229
ANGPT1	5.333333333333333	2.1706753254292354e-33	0.54262066	0.0
FAM101A	5.045454545454546	1.4229306440703084e-59	0.2900157	1.7622373162550722e-76
MLLT10	5.075757575757576	1.6271107072498622e-56	0.305144	1.1446871005190222e-97
RAB3D	6.53030303030303	1.0	0.2986969	2.0688848592811234e-88
CALD1	4.409090909090909	1.2861037409784286e-136	0.5839501	0.0
ING4	3.8333333333333335	1.3485832323205122e-219	0.44240153	0.0
CASP14	4.4393939393939394	1.673299379658336e-132	0.42698324	2.299926255409573e-307
PDE6G	3.8484848484848486	2.5229778063339486e-217	0.32608625	9.584587016383994e-130
PLAT	6.015151515151516	0.11603843419891441	0.5565855	0.0
MAP2K6	4.03030303030303	2.1087738388507592e-190	0.44283915	0.0
RAB11FIP2	5.454545454545454	1.875469319795333e-24	0.4519086	0.0
SPTAN1	4.075757575757576	9.425084823205431e-184	0.47918835	0.0
GLP2R	5.045454545454546	1.4229306440703084e-59	0.4740448	0.0
KCND3	8.075757575757576	1.0	0.34178725	1.897730155844086e-155
RCC2	4.7727272727272725	6.9489106635318485e-90	0.52172637	0.0
TRHDE	15.0	1.0	0.408592	9.414222470714203e-274
SLC22A9	5.863636363636363	0.0001074974518139196	0.5337535	0.0
HADHB	5.348484848484849	3.361814908486116e-32	0.50264114	0.0
RPL22	5.454545454545454	1.875469319795333e-24	0.21272793	2.1357671700101556e-06
IARS	4.0606060606060606	5.7613808878307085e-186	0.66716474	0.0
ZYG11B	6.484848484848484	1.0	0.4487054	0.0
AHCYL1	5.575757575757576	7.098220602553354e-17	0.50472003	0.0
RIC8B	6.363636363636363	1.0	0.46069264	0.0
FGFR4	5.621212121212121	2.1281896348445874e-14	0.40977407	6.542429233557925e-276
SLC8A3	4.151515151515151	9.15888580977784e-173	0.6622628	0.0
PTPRU	6.075757575757576	0.4654418176526208	0.696522	0.0
HMOX2	4.393939393939394	1.0948844848673155e-138	0.4745498	0.0
NKIRAS2	4.651515151515151	9.179932486875994e-105	0.39006615	4.35989791771992e-240
HNRNPD	4.484848484848484	2.1281592221250877e-126	0.41345125	1.2621677218991755e-282
